Well,Time,Region,Total_Masses,drug_conc
A3,20,62,3,200 nM Bran.
A3,20,21,13,200 nM Bran.
A3,20,81,155,200 nM Bran.
A3,20,70,7,200 nM Bran.
A3,20,80,6,200 nM Bran.
A3,20,58,11,200 nM Bran.
A3,20,45,16,200 nM Bran.
A3,20,7,6,200 nM Bran.
A3,20,14,9,200 nM Bran.
B1,20,33,7,300 nM Bran.
B1,20,44,8,300 nM Bran.
B1,20,78,13,300 nM Bran.
B1,20,3,9,300 nM Bran.
B1,20,80,20,300 nM Bran.
B1,20,48,10,300 nM Bran.
B1,20,9,127,300 nM Bran.
B1,20,62,12,300 nM Bran.
B1,20,10,5,300 nM Bran.
B1,20,17,11,300 nM Bran.
B1,20,45,11,300 nM Bran.
B1,20,52,12,300 nM Bran.
B1,20,59,11,300 nM Bran.
B1,20,15,15,300 nM Bran.
B1,20,32,10,300 nM Bran.
B1,20,6,10,300 nM Bran.
B1,20,1,7,300 nM Bran.
B1,20,18,8,300 nM Bran.
B1,20,39,13,300 nM Bran.
B1,20,8,11,300 nM Bran.
B1,20,11,10,300 nM Bran.
B1,20,49,17,300 nM Bran.
B1,20,21,12,300 nM Bran.
B1,20,47,9,300 nM Bran.
B1,20,58,7,300 nM Bran.
B1,20,14,12,300 nM Bran.
B1,20,26,5,300 nM Bran.
B1,20,46,11,300 nM Bran.
B1,20,63,9,300 nM Bran.
B1,20,68,14,300 nM Bran.
B1,20,16,10,300 nM Bran.
B1,20,27,5,300 nM Bran.
B1,20,69,4,300 nM Bran.
B1,20,30,4,300 nM Bran.
B1,20,50,21,300 nM Bran.
B1,20,13,4,300 nM Bran.
B1,20,22,8,300 nM Bran.
B1,20,24,5,300 nM Bran.
B1,20,25,8,300 nM Bran.
B1,20,12,9,300 nM Bran.
B1,20,71,10,300 nM Bran.
B1,20,7,13,300 nM Bran.
B1,20,81,17,300 nM Bran.
B1,20,35,11,300 nM Bran.
B1,20,77,14,300 nM Bran.
B1,20,2,23,300 nM Bran.
B1,20,72,10,300 nM Bran.
B1,20,57,6,300 nM Bran.
B1,20,74,8,300 nM Bran.
B1,20,31,13,300 nM Bran.
B1,20,51,14,300 nM Bran.
B1,20,64,12,300 nM Bran.
B1,20,37,9,300 nM Bran.
B1,20,19,10,300 nM Bran.
B1,20,43,10,300 nM Bran.
B1,20,38,8,300 nM Bran.
B1,20,23,14,300 nM Bran.
B1,20,28,17,300 nM Bran.
B1,20,56,6,300 nM Bran.
B1,20,61,12,300 nM Bran.
B1,20,54,8,300 nM Bran.
B1,20,4,4,300 nM Bran.
B1,20,41,159,300 nM Bran.
B1,20,76,11,300 nM Bran.
B1,20,40,24,300 nM Bran.
B1,20,55,13,300 nM Bran.
B1,20,60,4,300 nM Bran.
B1,20,79,19,300 nM Bran.
B1,20,20,8,300 nM Bran.
B1,20,5,9,300 nM Bran.
B1,20,65,9,300 nM Bran.
B1,20,67,8,300 nM Bran.
B1,20,70,7,300 nM Bran.
B1,20,53,13,300 nM Bran.
B1,20,29,12,300 nM Bran.
B1,20,34,7,300 nM Bran.
B1,20,66,4,300 nM Bran.
B1,20,36,13,300 nM Bran.
B1,20,42,16,300 nM Bran.
B1,20,75,10,300 nM Bran.
B1,20,73,11,300 nM Bran.
