Well,Time,Region,Min,Max,Mean,Median,Mode,StDev,drug_conc
A1,20,15,23,69,24.205938841899805,24,23,2.0879900385165,DMSO
A1,20,75,23,68,24.120051080002092,24,23,1.7883004943670322,DMSO
A1,20,29,23,69,24.244275164002534,24,23,2.175923318098927,DMSO
A1,20,45,23,68,24.18036290147123,24,23,1.960457415616316,DMSO
A1,20,13,23,69,24.159270303455536,24,23,1.865295701268623,DMSO
A1,20,42,23,69,24.115366511577385,24,23,1.874066812353696,DMSO
A1,20,70,23,69,24.154408304252467,24,23,1.783180592171717,DMSO
A1,20,36,23,69,24.19571688196866,24,23,1.928328583997108,DMSO
A1,20,46,23,68,24.157264999964315,24,23,1.9461169482288,DMSO
A1,20,24,23,69,24.20780212848454,24,23,1.9901787241504076,DMSO
A1,20,43,23,69,24.348573953650767,24,23,2.157866945090449,DMSO
A1,20,76,23,68,24.16034545096729,24,23,1.9639040974074071,DMSO
A1,20,66,23,68,24.160311490642005,24,23,1.8550161404996863,DMSO
B2,20,53,23,69,26.083778593193426,25,23,4.230899660827751,500 nM Ris
B2,20,35,23,69,26.21759744247372,25,23,4.404983592102982,500 nM Ris
B2,20,15,23,69,25.936466039532476,25,23,4.098427844729077,500 nM Ris
B2,20,40,23,69,26.06294562423948,25,23,4.443021639740709,500 nM Ris
B2,20,47,23,69,25.809339100045857,24,23,4.035921270795694,500 nM Ris
B2,20,49,23,69,25.872232275787393,24,23,3.995902055165113,500 nM Ris
B2,20,67,23,69,25.82071393502497,24,23,3.9572838749269432,500 nM Ris
B2,20,22,23,69,25.941319709830108,25,23,4.131324729161629,500 nM Ris
B2,20,57,23,69,25.886181167254488,24,23,4.2319417849458265,500 nM Ris
B2,20,43,23,69,25.933200187218553,25,23,4.07240608349393,500 nM Ris
B2,20,14,23,69,25.87989035316776,24,23,4.045722141407376,500 nM Ris
B2,20,48,23,69,26.098438589008747,25,23,4.481324903933517,500 nM Ris
B2,20,36,23,69,26.02076064512671,25,23,4.211798515900093,500 nM Ris
B2,20,51,23,69,26.10436502909045,25,23,4.260650192402033,500 nM Ris
B2,20,17,23,69,26.002187599235853,25,23,4.209729482213926,500 nM Ris
B2,20,1,23,69,25.410180052777186,24,23,3.4973254335811443,500 nM Ris
