exp,drug_conc,Elapsed,mean_count,std_dev,number,upper,lower
Branaplam,50,34,30.625,17.151023546589055,24,37.48683852174844,23.763161478251565
Branaplam,50,36,29.041666666666668,15.840177773120413,24,35.37905765325635,22.704275680076982
Branaplam,50,38,27.916666666666668,15.972576135545484,24,34.3070280302742,21.526305303059136
Branaplam,50,40,26.458333333333332,14.943310752034973,24,32.4369027803541,20.47976388631256
Branaplam,50,42,25.583333333333332,14.767522139645754,24,31.491572687873006,19.675093978793658
Branaplam,50,44,24,14.557233373078171,24,29.824106325673803,18.175893674326197
Branaplam,50,46,23.125,13.257688499426516,24,28.429180092085428,17.820819907914572
Branaplam,50,48,22.041666666666668,13.009959952706023,24,27.24673469816831,16.836598635165025
Branaplam,50,50,20.916666666666668,12.010562983824107,24,25.721892636208317,16.11144069712502
Branaplam,50,52,20.375,12.082371276044032,24,25.208955269830767,15.541044730169233
Branaplam,50,54,19.291666666666668,10.81254974018885,24,23.6175875147145,14.965745818618835
Branaplam,50,56,17.833333333333332,10.598058340078627,24,22.07343974891525,13.593226917751414
Branaplam,50,58,16.791666666666668,9.802303042017025,24,20.7134046569886,12.869928676344736
Branaplam,50,60,16.75,10.451752505430973,24,20.93157189083972,12.56842810916028
Branaplam,50,62,15.708333333333334,9.3319421841081,24,19.44188778783568,11.974778878830989
Branaplam,50,64,14.458333333333334,9.198200044463645,24,18.138379787960307,10.77828687870636
Branaplam,50,66,13.416666666666666,9.207353708793889,24,17.100375349751655,9.732957983581676
Branaplam,50,68,12.291666666666666,8.523518189036766,24,15.70178416149033,8.881549171843002
Branaplam,50,70,11.833333333333334,7.838958818766613,24,14.969570039375865,8.697096627290803
Branaplam,50,72,11.166666666666666,6.951175481867089,24,13.947716063709493,8.38561726962384
Branaplam,50,74,10.416666666666666,7.517612171003715,24,13.42433793750561,7.408995395827722
Branaplam,50,76,9.291666666666666,7.183793152504533,24,12.165782514751527,6.417550818581805
Branaplam,50,78,8.666666666666666,6.471789394828488,24,11.255921684213938,6.077411649119394
Branaplam,50,80,7.5,5.461326483238458,24,9.68498565643818,5.3150143435618205
Branaplam,50,82,7.041666666666667,4.786567860592595,24,8.95669265001734,5.126640683315994
Branaplam,50,84,6.041666666666667,4.4864934178493785,24,7.836637869320763,4.246695464012571
Branaplam,100,0,41.125,16.93545932677043,24,47.90059487200683,34.34940512799317
Branaplam,100,2,43.416666666666664,18.626574439824378,24,50.86884849547773,35.9644848378556
Branaplam,100,4,43.125,19.077217233949618,24,50.757476496116325,35.492523503883675
Branaplam,100,6,43.5,18.137158590560166,24,50.75637470869879,36.24362529130121
Branaplam,100,8,43.291666666666664,17.967311300311987,24,50.480088306799395,36.10324502653393
Branaplam,100,10,41.416666666666664,17.442867401560036,24,48.3952670481919,34.43806628514143
Branaplam,100,12,40.041666666666664,16.25203443229203,24,46.543834634738865,33.539498698594464
