image_number,total_cell_count,positive_cell_count,negative_cell_count,p_enriched_positive,p_enriched_negative,enriched_score_positive,training_total_cell_count,training_positive_cell_count,training_negative_cell_count,Image_Metadata_image,Image_Metadata_scene,Image_Metadata_slide,days_conf,edu_status
700,1407,65,1342,0.408183219766536,0.5918167802434116,-0.1613321277915429,0,0,0,036,s1,slide3,3,pos
701,1711,65,1646,0.35658514732612984,0.643414852730049,-0.256327832241406,0,0,0,037,s1,slide3,3,pos
702,1259,76,1183,0.4865930071808539,0.5134069928170791,-0.0232959162475439,20,0,20,038,s1,slide3,3,pos
703,1508,119,1389,0.5732955093641842,0.4267044906336205,0.1282513265539561,1,0,1,039,s1,slide3,3,pos
704,1177,91,1086,0.5662693690927445,0.4337306309067634,0.11580297624253036,0,0,0,040,s1,slide3,3,pos
705,1341,94,1247,0.5340649619471219,0.4659350380524048,0.05926871605082023,1,1,0,041,s1,slide3,3,pos
706,1147,115,1032,0.6548192298695582,0.34518077015280646,0.2780748313544382,1,1,0,042,s1,slide3,3,pos
707,1564,98,1466,0.49824235481027146,0.5017576451902904,-0.00305335500525349,1,1,0,043,s1,slide3,3,pos
708,858,71,787,0.5887089688222436,0.41129103141133067,0.1557514130565856,1,1,0,044,s1,slide3,3,pos
709,1278,114,1164,0.6147246814400237,0.385275318645795,0.20290946235976495,0,0,0,045,s1,slide3,3,pos
710,1492,80,1412,0.4507299063742898,0.5492700936284588,-0.08586957852884247,0,0,0,046,s1,slide3,3,pos
711,1060,76,984,0.5412947892040951,0.4587052107955978,0.07190017270291055,0,0,0,047,s1,slide3,3,pos
712,1255,113,1142,0.6179070582619726,0.3820929418161672,0.20875414092453587,0,0,0,048,s1,slide3,3,pos
713,993,134,859,0.7562238453139634,0.24377615468754227,0.49165914522989185,0,0,0,049,s1,slide3,3,pos
714,989,93,896,0.6324826456271694,0.36751735442782407,0.23577076209357192,0,0,0,050,s1,slide3,3,pos
715,1145,78,1067,0.5247442406983879,0.47525575930090663,0.04302029221625225,0,0,0,051,s1,slide3,3,pos
716,1179,74,1105,0.49872374457051594,0.5012762554286543,-0.00221708757710986,0,0,0,052,s1,slide3,3,pos
717,1205,74,1131,0.49191517052461137,0.508084829474007,-0.01404601154527818,0,0,0,053,s1,slide3,3,pos
718,1498,80,1418,0.4495441035032908,0.5504558965001317,-0.08795022269168062,0,0,0,054,s1,slide3,3,pos
719,1527,112,1415,0.5489691991152513,0.4510308008838358,0.08534177742354743,0,0,0,055,s1,slide3,3,pos
720,1073,89,984,0.5897793775875363,0.41022062261444614,0.15767209357988288,0,0,0,056,s1,slide3,3,pos
722,1604,81,1523,0.4332141744057093,0.5667858255960851,-0.11671632276360008,2,0,2,058,s1,slide3,3,pos
723,1125,97,1028,0.6029787887113054,0.3970212114218337,0.18148832497647985,0,0,0,059,s1,slide3,3,pos
724,922,110,812,0.7143505760783573,0.28564942392417114,0.39807804675556,0,0,0,060,s1,slide3,3,pos
725,1152,70,1082,0.48862348591684873,0.5113765140827554,-0.0197664406601532,1,0,1,061,s1,slide3,3,pos
726,939,71,868,0.5586736974918046,0.441326302507463,0.10239841350143648,1,1,0,062,s1,slide3,3,pos
727,1671,54,1617,0.3180024012552703,0.6819975989476592,-0.3313524461648252,0,0,0,063,s1,slide3,3,pos
728,1413,59,1354,0.38097401408156495,0.6190259859416706,-0.2108135267062118,0,0,0,064,s1,slide3,3,pos
729,1556,59,1497,0.3562151746908415,0.6437848253674762,-0.25702831931482273,0,0,0,065,s1,slide3,3,pos
730,1311,96,1215,0.5483454834489977,0.45165451655134814,0.08424791313162844,0,0,0,066,s1,slide3,3,pos
731,1492,95,1397,0.5032851915802736,0.4967148084216624,0.00570704442642228,0,0,0,067,s1,slide3,3,pos
732,963,80,883,0.5901755844913059,0.4098244157185355,0.15838341065160233,0,0,0,068,s1,slide3,3,pos
733,1586,83,1503,0.4435734985824366,0.5564265014203492,-0.09844221512838314,0,0,0,069,s1,slide3,3,pos
734,1071,90,981,0.5941896673905699,0.40581033278690826,0.1656019947056778,0,0,0,070,s1,slide3,3,pos
735,850,74,776,0.6058803967081813,0.3941196034336094,0.1867588641322632,0,0,0,071,s1,slide3,3,pos
736,1712,88,1624,0.4383172781096173,0.5616827218947044,-0.10770247407849388,0,0,0,072,s1,slide3,3,pos
737,1542,74,1468,0.4187282105287845,0.5812717894786189,-0.14244702496855166,0,0,0,073,s1,slide3,3,pos
738,1122,56,1066,0.43002965411066174,0.5699703458943397,-0.12235385620236272,0,0,0,074,s1,slide3,3,pos
739,1160,80,1080,0.5287193722444482,0.47128062775495944,0.04994563500149568,1,0,1,075,s1,slide3,3,pos
740,1302,112,1190,0.6023448640261002,0.39765513610098185,0.18033861560393663,0,0,0,076,s1,slide3,3,pos
741,1222,119,1103,0.6448448231550581,0.35515517687757864,0.2590370681932713,0,0,0,077,s1,slide3,3,pos
742,1015,94,921,0.6272828733217054,0.372717126744248,0.22608408075092645,0,0,0,078,s1,slide3,3,pos
