unique_id,size,scan,signal,well,sample_id,plate_id,cell_strain,day,indicies_baseline,repeat_control,repeat_control_length,...9,...10,allele_1,allele_2,genotype,gene,gene_geno,norm_signal
0515plate_A10.fsa,408.16265329796965,3749,32,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.010832769126607989
0515plate_A10.fsa,408.3294156621182,3750,33,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.01117129316181449
0515plate_A10.fsa,408.49617802626676,3751,27,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.00914014895057549
0515plate_A10.fsa,408.6629403904152,3752,37,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012525389302640487
0515plate_A10.fsa,408.82970275456375,3753,31,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.01049424509140149
0515plate_A10.fsa,408.9964651187123,3754,48,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.016249153689911984
0515plate_A10.fsa,409.16322748286075,3755,67,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.022681110358835476
0515plate_A10.fsa,409.3299898470093,3756,93,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03148273527420447
0515plate_A10.fsa,409.49675221115785,3757,123,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.041638456330399455
0515plate_A10.fsa,409.6635145753063,3758,118,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03994583615436696
0515plate_A10.fsa,409.83027693945485,3759,110,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.037237643872714964
0515plate_A10.fsa,409.9970393036034,3760,101,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03419092755585647
0515plate_A10.fsa,410.16380166775184,3761,70,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.023696682464454975
0515plate_A10.fsa,410.3305640319004,3762,38,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012863913337846988
0515plate_A10.fsa,410.49732639604895,3763,44,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014895057549085985
0515plate_A10.fsa,410.6640887601974,3764,47,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.015910629654705483
0515plate_A10.fsa,410.83085112434594,3765,37,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012525389302640487
0515plate_A10.fsa,410.9976134884945,3766,35,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.011848341232227487
0515plate_A10.fsa,411.16437585264293,3767,26,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.008801624915368992
0515plate_A10.fsa,411.3311382167915,3768,34,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.011509817197020988
0515plate_A10.fsa,411.49790058094004,3769,35,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.011848341232227487
0515plate_A10.fsa,411.6646629450885,3770,28,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.009478672985781991
0515plate_A10.fsa,411.83142530923703,3771,52,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.017603249830737983
0515plate_A10.fsa,411.9981876733856,3772,60,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.020311442112389978
0515plate_A10.fsa,412.164950037534,3773,93,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03148273527420447
0515plate_A10.fsa,412.3317124016826,3774,120,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.040622884224779957
0515plate_A10.fsa,412.49847476583113,3775,132,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.04468517264725796
0515plate_A10.fsa,412.6652371299796,3776,125,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.042315504400812456
0515plate_A10.fsa,412.8319994941281,3777,98,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.03317535545023697
0515plate_A10.fsa,412.9987618582767,3778,68,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.023019634394041977
0515plate_A10.fsa,413.1655242224251,3779,39,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.013202437373053487
0515plate_A10.fsa,413.3322865865737,3780,37,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012525389302640487
0515plate_A10.fsa,413.4990489507222,3781,43,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.014556533513879486
0515plate_A10.fsa,413.66581131487067,3782,37,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012525389302640487
0515plate_A10.fsa,413.8325736790192,3783,23,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.007786052809749492
0515plate_A10.fsa,413.9993360431678,3784,23,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.007786052809749492
0515plate_A10.fsa,414.1660984073162,3785,25,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.008463100880162491
0515plate_A10.fsa,414.33286077146477,3786,37,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.012525389302640487
0515plate_A10.fsa,414.4996231356133,3787,30,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.010155721056194989
0515plate_A10.fsa,414.66638549976176,3788,45,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.015233581584292485
0515plate_A10.fsa,414.8331478639103,3789,72,A10,0515plate_A10,0515plate,MSH3_KO_c5,28,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,wt,MSH3,+/+,0.024373730534867976
